gene,importance
AL645608.1,0.053204536
SAMD11,0.07210011
VWA1,0.028454581
AL589702.1,0.11502477
AL359881.2,0.21356638
UTS2,0.010581481
SLC2A5,0.03725897
RBP7,0.0663445
TNFRSF1B,0.090974025
SRARP,0.17950451
PADI2,0.045635965
LINC01141,0.041496392
CDA,0.09053672
C1QA,0.18705636
C1QC,0.11456675
C1QB,0.2050987
ID3,0.040645227
RCAN3,0.020417048
CLIC4,0.031586286
RUNX3,0.19715945
LDLRAP1,0.062249806
PTAFR,0.08773055
RAB42,0.24582441
MATN1-AS1,0.032443848
LAPTM5,0.06937552
NKAIN1,0.045764033
TINAGL1,0.118256755
AL136115.1,0.18456705
GJA4,0.13731863
COL8A2,0.033715967
CSF3R,0.05034725
AL031430.1,0.45981678
HEYL,0.1907745
AL033527.3,0.15216553
MFSD2A,0.032276537
COL9A2,0.032452296
SLC2A1,0.035025954
AC099795.1,0.1797967
TMEM125,0.092237204
TIE1,0.10952512
AL139289.2,0.043217067
ELOVL1,0.063841514
AL139289.1,0.48242486
RNF220,0.048798054
TESK2,0.02904503
CCDC17,0.060277734
TAL1,0.11614672
FOXD2-AS1,0.29063988
FOXD2,0.4859586
SLC1A7,0.31768426
AC119428.2,0.023108622
PLPP3,0.04529233
LINC01135,0.02076388
CYP2J2,0.030647205
ROR1,0.10341722
CACHD1,0.014473603
AL139294.1,0.029590959
ST6GALNAC3,0.02514723
AC103591.3,0.13389301
IFI44L,0.15177691
IFI44,0.040422622
ADGRL4,0.13318157
AL359504.2,0.030550515
CLCA4,0.051286906
GBP2,0.10024184
F3,0.078628056
DPYD-AS1,0.06624803
FRRS1,0.05872571
CDC14A,0.02999419
VCAM1,0.09369754
AL355306.2,0.04546668
NTNG1,0.021811092
AHCYL1,0.07019725
CD53,0.039017294
DENND2D,0.078199156
CHI3L2,0.1913306
TMIGD3,0.23049016
SLC16A1,0.045817465
OLFML3,0.07860913
AL121999.1,0.27576157
CD58,0.018099867
PHGDH,0.018373093
AC245008.1,0.064871915
FCGR1B,0.24524419
SRGAP2C,0.043849062
SRGAP2-AS1,0.1401195
AC244021.1,0.093175896
AC239798.2,0.13169785
SRGAP2B,0.047499806
AC245014.3,0.37737265
